data-cut-off-date,web-posting-date,aefi,pfizer-events,pfizer-bivalent-reports,moderna-events,moderna-bivalent-BA1-reports,moderna-bivalent-BA45-reports,cov-azc-events,janssen-events,Novavax-events,unspecified-events,total-events,pfizer-rate,pfizer-bivalent-rate,moderna-rate,moderna-bivalent-BA1-rate,moderna-bivalent-BA45-rate,cov-azc-rate,janssen-rate,Novavax-rate,total-rate
2021-06-04,2021-06-11,Erythema (redness),N/A,,N/A,,,N/A,,,N/A,531,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Fever ≥ 38°C,N/A,,N/A,,,N/A,,,N/A,524,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Dizziness,N/A,,N/A,,,N/A,,,N/A,523,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,455,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Chills,N/A,,N/A,,,N/A,,,N/A,400,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Pain,N/A,,N/A,,,N/A,,,N/A,397,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,367,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Adenopathy/lymphadenopathy (swollen lymph nodes),N/A,,N/A,,,N/A,,,N/A,359,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Throat tightness,N/A,,N/A,,,N/A,,,N/A,355,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,353,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Vomiting,N/A,,N/A,,,N/A,,,N/A,334,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Rash,N/A,,N/A,,,N/A,,,N/A,318,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Diarrhea,N/A,,N/A,,,N/A,,,N/A,308,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Chest discomfort,N/A,,N/A,,,N/A,,,N/A,305,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Vaccination site cellulitis,N/A,,N/A,,,N/A,,,N/A,300,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Arthralgia (joint pain),N/A,,N/A,,,N/A,,,N/A,287,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Dysphagia (difficulty swallowing),N/A,,N/A,,,N/A,,,N/A,279,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Rash generalized (non-allergic),N/A,,N/A,,,N/A,,,N/A,278,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Myalgia (muscle pain),N/A,,N/A,,,N/A,,,N/A,255,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Tachycardia (fast heartbeat),N/A,,N/A,,,N/A,,,N/A,243,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Pain in extremity,N/A,,N/A,,,N/A,,,N/A,236,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Malaise (discomfort),N/A,,N/A,,,N/A,,,N/A,231,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Cough,N/A,,N/A,,,N/A,,,N/A,209,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Swollen tongue,N/A,,N/A,,,N/A,,,N/A,206,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,203,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Feeling hot,N/A,,N/A,,,N/A,,,N/A,202,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Vaccination site induration (hardness),N/A,,N/A,,,N/A,,,N/A,199,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Swelling face,N/A,,N/A,,,N/A,,,N/A,196,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Asthenia (weakness),N/A,,N/A,,,N/A,,,N/A,188,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Abdominal pain,N/A,,N/A,,,N/A,,,N/A,186,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Lip swelling,N/A,,N/A,,,N/A,,,N/A,182,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Flushing,N/A,,N/A,,,N/A,,,N/A,180,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Bell's Palsy/facial paralysis,N/A,,N/A,,,N/A,,,N/A,175,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Dysphonia (hoarse voice),N/A,,N/A,,,N/A,,,N/A,172,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Chest pain,N/A,,N/A,,,N/A,,,N/A,171,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Oropharyngeal pain (throat pain),N/A,,N/A,,,N/A,,,N/A,145,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Dermatitis allergic,N/A,,N/A,,,N/A,,,N/A,139,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Vaccination site inflammation,N/A,,N/A,,,N/A,,,N/A,131,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Hyperhidrosis (excessive sweating),N/A,,N/A,,,N/A,,,N/A,131,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Pharyngeal swelling (throat swelling),N/A,,N/A,,,N/A,,,N/A,125,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Hypoaesthesia oral (numbness oral),N/A,,N/A,,,N/A,,,N/A,113,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Throat irritation,N/A,,N/A,,,N/A,,,N/A,110,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-04,2021-06-11,Extensive swelling of vaccinated limb,N/A,,N/A,,,N/A,,,N/A,102,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,1251,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Paraesthesia (tingling or prickling),N/A,,N/A,,,N/A,,,N/A,971,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Pruritus (itching),N/A,,N/A,,,N/A,,,N/A,958,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,926,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Headache,N/A,,N/A,,,N/A,,,N/A,908,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site swelling,N/A,,N/A,,,N/A,,,N/A,781,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Nausea,N/A,,N/A,,,N/A,,,N/A,686,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Fatigue,N/A,,N/A,,,N/A,,,N/A,685,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Dyspnoea (laboured breathing),N/A,,N/A,,,N/A,,,N/A,671,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Urticaria (hives),N/A,,N/A,,,N/A,,,N/A,654,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site warmth,N/A,,N/A,,,N/A,,,N/A,580,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Dizziness,N/A,,N/A,,,N/A,,,N/A,569,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Fever ≥ 38°C,N/A,,N/A,,,N/A,,,N/A,558,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Erythema (redness),N/A,,N/A,,,N/A,,,N/A,555,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,494,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Chills,N/A,,N/A,,,N/A,,,N/A,423,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Pain,N/A,,N/A,,,N/A,,,N/A,421,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Adenopathy/lymphadenopathy (swollen lymph nodes),N/A,,N/A,,,N/A,,,N/A,380,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Throat tightness,N/A,,N/A,,,N/A,,,N/A,371,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,370,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vomiting,N/A,,N/A,,,N/A,,,N/A,358,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,347,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Rash,N/A,,N/A,,,N/A,,,N/A,332,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Diarrhea,N/A,,N/A,,,N/A,,,N/A,328,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Arthralgia (joint pain),N/A,,N/A,,,N/A,,,N/A,326,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Chest discomfort,N/A,,N/A,,,N/A,,,N/A,325,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site cellulitis,N/A,,N/A,,,N/A,,,N/A,307,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Dysphagia (difficulty swallowing),N/A,,N/A,,,N/A,,,N/A,298,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Rash generalized (non-allergic),N/A,,N/A,,,N/A,,,N/A,293,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Myalgia (muscle pain),N/A,,N/A,,,N/A,,,N/A,269,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Pain in extremity,N/A,,N/A,,,N/A,,,N/A,267,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Tachycardia (fast heartbeat),N/A,,N/A,,,N/A,,,N/A,254,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Malaise (discomfort),N/A,,N/A,,,N/A,,,N/A,240,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Cough,N/A,,N/A,,,N/A,,,N/A,229,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Feeling hot,N/A,,N/A,,,N/A,,,N/A,216,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Swollen tongue,N/A,,N/A,,,N/A,,,N/A,212,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,209,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Swelling face,N/A,,N/A,,,N/A,,,N/A,207,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Asthenia (weakness),N/A,,N/A,,,N/A,,,N/A,204,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site induration (hardness),N/A,,N/A,,,N/A,,,N/A,202,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Bell's Palsy/facial paralysis,N/A,,N/A,,,N/A,,,N/A,202,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Chest pain,N/A,,N/A,,,N/A,,,N/A,199,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Abdominal pain,N/A,,N/A,,,N/A,,,N/A,195,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Hypersensitivity,N/A,,N/A,,,N/A,,,N/A,193,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Lip swelling,N/A,,N/A,,,N/A,,,N/A,191,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Flushing,N/A,,N/A,,,N/A,,,N/A,190,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Dypshonia (hoarse voice),N/A,,N/A,,,N/A,,,N/A,184,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Oropharyngeal pain (throat pain),N/A,,N/A,,,N/A,,,N/A,157,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Dermatitis allergic,N/A,,N/A,,,N/A,,,N/A,142,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-11,2021-06-18,Vaccination site inflammation,N/A,,N/A,,,N/A,,,N/A,133,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site pain,475,,693,,,103,,,9,1280,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Paraesthesia (tingling or prickling),667,,236,,,130,,,4,1037,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Pruritus (itching),644,,276,,,81,,,5,1006,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site erythema (redness),183,,714,,,53,,,1,951,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site swelling,177,,564,,,57,,,2,800,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Dyspnoea (laboured breathing),454,,165,,,119,,,9,747,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Nausea,438,,184,,,108,,,7,737,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Fatigue,475,,130,,,116,,,15,736,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Urticaria (hives),447,,192,,,52,,,2,693,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Dizziness,401,,124,,,85,,,9,619,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site warmth,114,,445,,,34,,,1,594,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Erythema (redness),367,,160,,,62,,,1,590,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Fever ≥ 38°C,275,,159,,,137,,,11,582,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Hypoaesthesia (numbness),339,,101,,,80,,,5,525,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Chills,219,,94,,,124,,,4,441,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Pain,242,,82,,,95,,,17,436,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Throat tightness,294,,71,,,18,,,1,399,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Adenopathy/lymphadenopathy (swollen lymph nodes),254,,120,,,14,,,0,388,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vomiting,239,,91,,,49,,,4,383,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site pruritus (itching),74,,286,,,20,,,1,381,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site reaction,56,,296,,,7,,,0,359,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Chest discomfort,242,,72,,,44,,,1,359,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Diarrhea,220,,74,,,52,,,10,356,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Arthralgia (joint pain),223,,65,,,53,,,11,352,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Rash,206,,96,,,42,,,3,347,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site cellulitis,44,,260,,,24,,,0,328,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Dysphagia (difficulty swallowing),242,,60,,,19,,,0,321,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Rash generalized (non-allergic),189,,85,,,33,,,0,307,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Myalgia (muscle pain),153,,69,,,66,,,3,291,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Pain in extremity,148,,46,,,85,,,8,287,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Tachycardia (fast heartbeat),192,,53,,,26,,,2,273,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Malaise (discomfort),157,,54,,,40,,,9,260,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Cough,159,,63,,,28,,,3,253,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Swollen tongue,166,,54,,,13,,,1,234,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Feeling hot,136,,65,,,28,,,2,231,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Swelling face,156,,50,,,19,,,1,226,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Asthenia (weakness),130,,43,,,44,,,9,226,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Chest pain,136,,31,,,56,,,2,225,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site rash,47,,161,,,13,,,0,221,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Hypersensitivity,134,,62,,,14,,,3,213,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Abdominal pain,128,,46,,,35,,,4,213,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site induration (hardness),34,,159,,,13,,,0,206,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Lip swelling,148,,42,,,15,,,1,206,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Flushing,141,,40,,,16,,,2,199,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Dysphonia (hoarse voice),142,,43,,,9,,,1,195,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Oropharyngeal pain (throat pain),107,,44,,,15,,,6,172,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Dermatitis allergic,97,,37,,,13,,,0,147,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Vaccination site inflammation,16,,126,,,3,,,0,145,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Pharyngeal swelling (throat swelling),108,,26,,,9,,,0,143,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-18,2021-06-25,Hypoaesthesia oral (numbness oral),109,,25,,,5,,,0,139,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site pain,500,,741,,,111,,,9,1361,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Paraesthesia (tingling or prickling),743,,258,,,136,,,4,1141,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Pruritus (itching),688,,300,,,85,,,7,1080,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Headache,565,,195,,,260,,,16,1036,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site erythema (redness),196,,746,,,57,,,3,1002,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site swelling,188,,592,,,61,,,4,845,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Dyspnoea (laboured breathing),515,,181,,,126,,,11,833,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Fatigue,513,,149,,,131,,,22,815,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Nausea,477,,197,,,114,,,9,797,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Urticaria (hives),477,,207,,,62,,,3,749,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Dizziness,431,,137,,,92,,,10,670,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Erythema (redness),397,,175,,,65,,,5,642,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Fever ≥ 38°C,300,,173,,,146,,,13,632,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site warmth,123,,470,,,35,,,1,629,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Hypoaesthesia (numbness),370,,116,,,81,,,7,574,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Chills,238,,103,,,130,,,4,475,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Pain,256,,88,,,98,,,21,463,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Throat tightness,341,,78,,,18,,,1,438,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Chest discomfort,278,,84,,,51,,,3,416,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vomiting,258,,100,,,53,,,4,415,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Adenopathy/lymphadenopathy (swollen lymph nodes),270,,126,,,14,,,1,411,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site pruritus (itching),76,,298,,,21,,,1,396,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Diarrhea,242,,85,,,56,,,13,396,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Arthralgia (joint pain),241,,71,,,56,,,13,381,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Rash,220,,105,,,45,,,3,373,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site reaction,57,,298,,,7,,,1,363,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Dysphagia (difficulty swallowing),266,,64,,,20,,,1,351,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site cellulitis,45,,264,,,25,,,0,334,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Pain in extremity,173,,51,,,92,,,12,328,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Rash generalized (non-allergic),196,,91,,,34,,,0,321,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Myalgia (muscle pain),167,,78,,,69,,,7,321,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Tachycardia (fast heartbeat),220,,59,,,25,,,2,306,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Malaise (discomfort),166,,60,,,45,,,11,282,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Cough,170,,67,,,26,,,3,266,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Chest pain,160,,39,,,61,,,2,262,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Asthenia (weakness),147,,49,,,46,,,12,254,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Feeling hot,148,,71,,,30,,,2,251,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Swollen tongue,178,,55,,,15,,,1,249,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Swelling face,171,,54,,,21,,,2,248,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Abdominal pain,145,,49,,,36,,,8,238,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site rash,48,,172,,,15,,,0,235,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Hypersensitivity,146,,66,,,15,,,3,230,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Lip swelling,157,,45,,,19,,,1,222,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site induration (hardness),35,,163,,,14,,,0,212,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Dysphonia (hoarse voice),153,,47,,,10,,,2,212,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Flushing,152,,42,,,16,,,2,212,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Oropharyngeal pain (throat pain),115,,48,,,17,,,6,186,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Pharyngeal swelling (throat swelling),117,,28,,,10,,,0,155,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Dermatitis allergic,100,,38,,,13,,,0,151,N/A,,N/A,,,N/A,N/A,,N/A
2021-06-25,2021-07-05,Vaccination site inflammation,17,,129,,,3,,,0,149,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Vaccination site pain,516,,752,,,116,,,9,1393,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Paraesthesia (tingling or prickling),783,,276,,,146,,,4,1209,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Pruritus (itching),710,,314,,,88,,,7,1119,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Headache,591,,201,,,267,,,16,1075,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Vaccination site erythema (redness),200,,759,,,58,,,3,1020,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Dyspnoea (laboured breathing),545,,195,,,132,,,11,883,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Fatigue,544,,159,,,136,,,22,861,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Vaccination site swelling,189,,603,,,63,,,4,859,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Nausea,504,,204,,,117,,,9,834,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Urticaria (hives),494,,215,,,70,,,4,783,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Dizziness,455,,145,,,98,,,10,708,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Erythema (redness),414,,182,,,67,,,5,668,N/A,,N/A,,,N/A,N/A,,N/A
2021-07-02,2021-07-09,Fever ≥ 38°C,313,,180,,,156,,,14,663,N/A,,N/A,,,N/A,N/A,,N/A
