data-cut-off-date,web-posting-date,vaccine-name,non-serious-all,serious-all,total-all,non-serious-rate-all,serious-rate-all,total-rate-all,doses-admin-all,non-serious-18plus,serious-18plus,total-18plus,non-serious-rate-18plus,serious-rate-18plus,total-rate-18plus,doses-admin-18plus,non-serious-12to17,serious-12to17,total-12to17,non-serious-rate-12to17,serious-rate-12to17,total-rate-12to17,doses-admin-12to17,non-serious-5to11,serious-5to11,total-5to11,non-serious-rate-5to11,serious-rate-5to11,total-rate-5to11,doses-admin-5to11,non-serious-0to4,serious-0to4,total-0to4,non-serious-rate-0to4,serious-rate-0to4,total-rate-0to4,doses-admin-0to4
2021-07-30,2021-08-06,Pfizer-BioNTech (Total),4506,1879,6385,13.62,5.68,19.30,33088647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Pfizer-BioNTech (Dose 1),3044,1284,4328,15.80,6.67,22.47,19262884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Pfizer-BioNTech (Dose 2),735,340,1075,5.32,2.46,7.78,13825763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Moderna (Total),3097,419,3516,26.05,3.52,29.57,11890731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Moderna (Dose 1),2217,214,2431,41.16,3.97,45.13,5386933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Moderna (Dose 2),443,129,572,6.81,1.98,8.79,6503798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,COVISHIELD/AstraZeneca (Total),993,441,1434,37.54,16.67,54.20,2645521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,COVISHIELD/AstraZeneca (Dose 1),802,286,1088,37.77,13.47,51.24,2123522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,COVISHIELD/AstraZeneca (Dose 2),28,15,43,5.36,2.87,8.24,521999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Unknown vaccine (Total),27,122,149,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Unknown vaccine (Dose 1),17,54,71,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,2021-08-06,Unknown vaccine (Dose 2),3,11,14,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Pfizer-BioNTech (Total),4683,2005,6688,13.58,5.81,19.39,34496041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Pfizer-BioNTech (Dose 1),3133,1349,4482,16.12,6.94,23.06,19438326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Pfizer-BioNTech (Dose 2),778,396,1174,5.17,2.63,7.80,15057715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Moderna (Total),3198,488,3686,26.23,4.00,30.23,12192575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Moderna (Dose 1),2274,234,2508,41.75,4.30,46.05,5446333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Moderna (Dose 2),467,175,642,6.92,2.59,9.52,6746242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,COVISHIELD/AstraZeneca (Total),1037,455,1492,37.40,16.41,53.81,2772640,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,COVISHIELD/AstraZeneca (Dose 1),833,300,1133,37.54,13.52,51.05,2219232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,COVISHIELD/AstraZeneca (Dose 2),27,18,45,4.88,3.25,8.13,553408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Unknown vaccine (Total),27,130,157,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Unknown vaccine (Dose 1),17,55,72,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,2021-08-13,Unknown vaccine (Dose 2),3,14,17,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Pfizer-BioNTech (Total),4919,2146,7065,13.94,6.08,20.01,35299012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Pfizer-BioNTech (Dose 1),3245,1407,4652,16.58,7.19,23.77,19571415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Pfizer-BioNTech (Dose 2),827,454,1281,5.26,2.89,8.14,15727597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Moderna (Total),3304,535,3839,26.63,4.31,30.95,12404899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Moderna (Dose 1),2329,249,2578,42.42,4.54,46.95,5490466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Moderna (Dose 2),486,201,687,7.03,2.91,9.94,6914433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,COVISHIELD/AstraZeneca (Total),1122,509,1631,40.41,18.33,58.74,2776653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,COVISHIELD/AstraZeneca (Dose 1),890,316,1206,40.10,14.24,54.33,2219670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,COVISHIELD/AstraZeneca (Dose 2),29,18,47,5.21,3.23,8.44,556983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Unknown vaccine (Total),27,138,165,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Unknown vaccine (Dose 1),17,57,74,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,2021-08-20,Unknown vaccine (Dose 2),3,18,21,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Pfizer-BioNTech (Total),5225,2262,7487,14.51,6.28,20.79,36007467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Pfizer-BioNTech (Dose 1),3413,1439,4852,17.31,7.30,24.61,19716146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Pfizer-BioNTech (Dose 2),898,519,1417,5.51,3.19,8.70,16291321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Moderna (Total),3461,591,4052,27.37,4.67,32.05,12643463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Moderna (Dose 1),2414,268,2682,43.59,4.84,48.43,5537622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Moderna (Dose 2),150,229,379,2.11,3.22,5.33,7105841,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,COVISHIELD/AstraZeneca (Total),1210,552,1762,43.52,19.86,63.38,2780120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,COVISHIELD/AstraZeneca (Dose 1),939,324,1263,42.29,14.59,56.88,2220270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,COVISHIELD/AstraZeneca (Dose 2),33,31,64,5.89,5.54,11.43,559850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Unknown vaccine (Total),29,144,173,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Unknown vaccine (Dose 1),17,58,75,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,2021-08-27,Unknown vaccine (Dose 2),5,22,27,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Pfizer-BioNTech (Total),5398,2442,7840,14.74,6.67,21.41,36617456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Pfizer-BioNTech (Dose 1),3512,1531,5043,17.67,7.70,25.37,19876913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Pfizer-BioNTech (Dose 2),949,580,1529,5.67,3.46,9.13,16740543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Moderna (Total),3608,657,4265,28.01,5.10,33.11,12879510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Moderna (Dose 1),2492,294,2786,44.52,5.25,49.77,5597624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Moderna (Dose 2),535,258,793,7.35,3.54,10.89,7281886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,COVISHIELD/AstraZeneca (Total),1301,560,1861,46.76,20.13,66.88,2782414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,COVISHIELD/AstraZeneca (Dose 1),1010,336,1346,45.47,15.13,60.60,2221018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,COVISHIELD/AstraZeneca (Dose 2),34,32,66,6.06,5.70,11.76,561396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Unknown vaccine (Total),29,145,174,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Unknown vaccine (Dose 1),15,50,65,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,2021-09-03,Unknown vaccine (Dose 2),6,24,30,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Pfizer-BioNTech (Total),5547,2599,8146,14.93,7.00,21.93,37153868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Pfizer-BioNTech (Dose 1),3597,1629,5226,17.93,8.12,26.06,20057379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Pfizer-BioNTech (Dose 2),996,619,1615,5.83,3.62,9.45,17096489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Moderna (Total),3752,681,4433,28.73,5.22,33.95,13057703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Moderna (Dose 1),2585,305,2890,45.79,5.40,51.19,5645469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Moderna (Dose 2),570,267,837,7.69,3.60,11.29,7412234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,COVISHIELD/AstraZeneca (Total),1406,577,1983,50.50,20.72,71.22,2784340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,COVISHIELD/AstraZeneca (Dose 1),1109,360,1469,49.92,16.21,66.13,2221536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,COVISHIELD/AstraZeneca (Dose 2),36,25,61,6.40,4.44,10.84,562804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Unknown vaccine (Total),33,148,181,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Unknown vaccine (Dose 1),16,47,63,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,2021-09-10,Unknown vaccine (Dose 2),4,28,32,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Pfizer-BioNTech (Total),5764,2724,8488,15.33,7.24,22.57,37610913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Pfizer-BioNTech (Dose 1),3732,1701,5433,18.44,8.40,26.84,20242610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Pfizer-BioNTech (Dose 2),1063,676,1739,6.12,3.89,10.01,17368303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Moderna (Total),3899,716,4615,29.53,5.42,34.96,13202225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Moderna (Dose 1),2668,313,2981,46.89,5.50,52.39,5689487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Moderna (Dose 2),612,291,903,8.15,3.87,12.02,7512738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,COVISHIELD/AstraZeneca (Total),1431,604,2035,51.38,21.69,73.07,2784901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,COVISHIELD/AstraZeneca (Dose 1),1124,377,1501,50.60,16.97,67.57,2221472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,COVISHIELD/AstraZeneca (Dose 2),38,26,64,6.74,4.61,11.36,563429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Unknown vaccine (Total),37,151,188,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Unknown vaccine (Dose 1),17,48,65,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,2021-09-17,Unknown vaccine (Dose 2),11,29,40,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Pfizer-BioNTech (Total),6122,2827,8949,16.10,7.44,23.54,38017179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Pfizer-BioNTech (Dose 1),3956,1723,5679,19.37,8.44,27.80,20424998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Pfizer-BioNTech (Dose 2),1149,728,1877,6.53,4.14,10.67,17592181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Moderna (Total),4107,736,4843,30.52,5.47,35.99,13455047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Moderna (Dose 1),2804,322,3126,48.37,5.56,53.93,5796558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Moderna (Dose 2),656,299,955,8.57,3.90,12.47,7658489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,COVISHIELD/AstraZeneca (Total),1538,610,2148,55.21,21.90,77.11,2785698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,COVISHIELD/AstraZeneca (Dose 1),1208,378,1586,54.37,17.01,71.38,2221814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,COVISHIELD/AstraZeneca (Dose 2),44,29,73,7.80,5.14,12.95,563884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Unknown vaccine (Total),38,156,194,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Unknown vaccine (Dose 1),17,49,66,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,2021-09-24,Unknown vaccine (Dose 2),12,30,42,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Pfizer-BioNTech (Total),6471,2952,9423,16.82,7.67,24.49,38472075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Pfizer-BioNTech (Dose 1),4181,1786,5967,20.26,8.66,28.92,20632880,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Pfizer-BioNTech (Dose 2),1230,765,1995,6.89,4.29,11.18,17839195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Moderna (Total),4465,774,5239,32.85,5.69,38.54,13592652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Moderna (Dose 1),3043,339,3382,52.04,5.80,57.84,5847593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Moderna (Dose 2),723,309,1032,9.33,3.99,13.32,7745059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,COVISHIELD/AstraZeneca (Total),1654,620,2274,59.34,22.24,81.58,2787374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,COVISHIELD/AstraZeneca (Dose 1),1291,385,1676,58.08,17.32,75.40,2222763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,COVISHIELD/AstraZeneca (Dose 2),49,29,78,8.68,5.14,13.81,564611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Unknown vaccine (Total),29,159,188,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Unknown vaccine (Dose 1),11,49,60,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,2021-10-01,Unknown vaccine (Dose 2),9,31,40,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Pfizer-BioNTech (Total),6891,3114,10005,17.64,7.97,25.61,39059704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Pfizer-BioNTech (Dose 1),4442,1884,6326,21.30,9.04,30.34,20850875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Pfizer-BioNTech (Dose 2),1335,803,2138,7.38,4.44,11.81,18100418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Moderna (Total),4664,810,5474,33.86,5.88,39.74,13775031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Moderna (Dose 1),3179,354,3533,53.94,6.01,59.95,5893476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Moderna (Dose 2),768,322,1090,9.82,4.12,13.93,7823425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,COVISHIELD/AstraZeneca (Total),1724,633,2357,61.82,22.70,84.52,2788755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,COVISHIELD/AstraZeneca (Dose 1),1342,394,1736,60.36,17.72,78.08,2223303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,COVISHIELD/AstraZeneca (Dose 2),49,31,80,8.67,5.49,14.16,565049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Unknown vaccine (Total),31,161,192,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Unknown vaccine (Dose 1),11,49,60,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,2021-10-08,Unknown vaccine (Dose 2),11,33,44,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Pfizer-BioNTech (Total),7380,3293,10673,18.69,8.34,27.03,39491561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Pfizer-BioNTech (Dose 1),4724,1993,6717,22.56,9.52,32.08,20940177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Pfizer-BioNTech (Dose 2),1444,841,2285,7.89,4.60,12.49,18291975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Moderna (Total),4841,865,5706,34.85,6.23,41.08,13890316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Moderna (Dose 1),3273,387,3660,55.44,6.55,61.99,5904062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Moderna (Dose 2),809,335,832,10.27,4.25,10.56,7875581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,COVISHIELD/AstraZeneca (Total),1836,647,2483,65.79,23.19,88.98,2790504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,COVISHIELD/AstraZeneca (Dose 1),1419,404,1823,63.81,18.17,81.98,2223656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,COVISHIELD/AstraZeneca (Dose 2),50,31,81,8.84,5.48,14.32,565811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Unknown vaccine (Total),33,166,199,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Unknown vaccine (Dose 1),11,51,62,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,2021-10-18,Unknown vaccine (Dose 2),11,35,46,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Pfizer-BioNTech (Total),7843,3457,11300,19.66,8.66,28.32,39897633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Pfizer-BioNTech (Dose 1),5013,1992,7005,23.68,9.41,33.09,21167992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Pfizer-BioNTech (Dose 2),1542,886,2428,8.30,4.77,13.07,18579465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Moderna (Total),5051,912,5963,36.05,6.51,42.56,14010806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Moderna (Dose 1),3391,408,3799,56.86,6.84,63.70,5963495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Moderna (Dose 2),864,354,1218,10.86,4.45,15.31,7956886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,COVISHIELD/AstraZeneca (Total),1899,664,2563,68.01,23.78,91.79,2792104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,COVISHIELD/AstraZeneca (Dose 1),1456,416,1872,65.44,18.70,84.14,2224978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,COVISHIELD/AstraZeneca (Dose 2),51,33,84,9.00,5.82,14.82,566695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Unknown vaccine (Total),33,173,206,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Unknown vaccine (Dose 1),11,52,63,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,2021-10-22,Unknown vaccine (Dose 2),11,36,47,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Pfizer-BioNTech (Total),8120,3625,11745,20.16,9.00,29.16,40273249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Pfizer-BioNTech (Dose 1),5181,2176,7357,24.34,10.22,34.56,21286603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Pfizer-BioNTech (Dose 2),1584,950,2534,8.43,5.06,13.49,18789766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Pfizer-BioNTech (Dose 3),5,8,13,3.88,6.22,10.10,128707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Moderna (Total),5283,954,6237,37.40,6.75,44.16,14124434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Moderna (Dose 1),3550,424,3974,59.30,7.08,66.38,5986603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Moderna (Dose 2),888,372,1260,11.09,4.64,15.73,8009975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Moderna (Dose 3),5,2,7,7.83,3.13,10.96,63892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,COVISHIELD/AstraZeneca (Total),1984,682,2666,71.02,24.41,95.43,2793597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,COVISHIELD/AstraZeneca (Dose 1),1541,426,1967,69.24,19.14,88.38,2225738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,COVISHIELD/AstraZeneca (Dose 2),54,36,90,9.52,6.34,15.86,567380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,COVISHIELD/AstraZeneca (Dose 3),0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Unknown vaccine (Total),30,178,208,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Unknown vaccine (Dose 1),9,53,62,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Unknown vaccine (Dose 2),11,29,40,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,2021-10-29,Unknown vaccine (Dose 3),0,1,1,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Pfizer-BioNTech (Total),8771,3795,12566,21.57,9.33,30.91,40654538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Pfizer-BioNTech (Dose 1),5533,2255,7788,25.88,10.55,36.42,21380930,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Pfizer-BioNTech (Dose 2),1746,1021,2767,9.18,5.37,14.55,19013251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Pfizer-BioNTech (Dose 3),7,10,17,4.42,6.32,10.74,158255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Moderna (Total),5690,1016,6706,39.92,7.13,47.05,14254199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Moderna (Dose 1),3750,456,4206,62.39,7.59,69.98,6010579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Moderna (Dose 2),1011,397,1408,12.52,4.92,17.44,8072178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,Moderna (Dose 3),5,2,7,6.69,2.68,9.37,74684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,2021-11-05,COVISHIELD/AstraZeneca (Total),2086,702,2788,74.63,25.11,99.74,2795307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
